stage,B365H,B365D,B365A,Home/Away win,competence_difference
35,1.33,5.0,10.0,1,0.7142857142857143
28,3.5,3.4,2.1,-1,-0.8571428571428571
36,2.0,3.5,3.75,0,0.25
36,1.5,4.2,7.0,1,0.25
36,1.53,4.0,6.5,0,0.3055555555555556
36,1.83,3.6,4.33,1,-0.1111111111111111
36,2.2,3.25,3.4,0,-0.25
36,2.38,3.4,3.0,-1,-0.3611111111111111
36,5.5,4.0,1.62,-1,-0.8888888888888888
36,1.14,8.0,21.0,1,0.8611111111111112
36,1.62,3.75,6.0,1,0.3888888888888889
36,1.36,4.5,10.0,1,0.3055555555555556
37,1.29,5.5,10.0,1,0.8378378378378378
37,3.6,3.3,2.1,0,-0.2972972972972973
37,2.38,3.25,3.1,1,-0.2702702702702703
37,1.83,3.6,4.33,1,-0.02702702702702703
37,1.5,4.2,7.0,1,0.5405405405405406
37,9.5,4.75,1.36,-1,-0.9459459459459459
37,2.38,3.25,3.1,1,0.24324324324324326
37,4.0,3.8,1.83,-1,-0.4864864864864865
37,3.5,3.4,2.1,1,-0.7567567567567568
37,1.8,3.6,4.5,0,0.1891891891891892
29,2.0,3.4,3.8,-1,0.0
29,2.1,3.3,3.6,-1,0.10344827586206896
38,2.25,3.4,3.25,1,-0.23684210526315788
38,7.0,4.2,1.5,1,-1.131578947368421
38,2.25,3.3,3.3,1,-0.3684210526315789
38,1.57,4.0,6.0,-1,0.4473684210526316
38,1.2,7.0,13.0,1,0.6842105263157895
38,1.13,8.0,23.0,1,0.9210526315789473
38,4.0,3.6,1.91,0,-0.8421052631578947
38,6.5,3.8,1.57,0,-0.868421052631579
38,1.1,10.0,23.0,1,1.236842105263158
38,1.29,5.5,11.0,1,0.7894736842105263
